Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	3.0	6.0	0	15000	Goldcrest	goldcr1	0.5403	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	3.0
2	Spectrogram 1	1	39.0	42.0	0	15000	Goldcrest	goldcr1	0.5753	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	39.0
3	Spectrogram 1	1	42.0	45.0	0	15000	Goldcrest	goldcr1	0.5911	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	42.0
4	Spectrogram 1	1	57.0	60.0	0	15000	Goldcrest	goldcr1	0.8200	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	57.0
5	Spectrogram 1	1	69.0	72.0	0	15000	Goldcrest	goldcr1	0.7318	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	69.0
6	Spectrogram 1	1	72.0	75.0	0	15000	Goldcrest	goldcr1	0.7750	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	72.0
7	Spectrogram 1	1	120.0	123.0	0	15000	Goldcrest	goldcr1	0.6996	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	120.0
8	Spectrogram 1	1	138.0	141.0	0	15000	Goldcrest	goldcr1	0.5932	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	138.0
9	Spectrogram 1	1	171.0	174.0	0	15000	Goldcrest	goldcr1	0.5364	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	171.0
10	Spectrogram 1	1	198.0	201.0	0	15000	Goldcrest	goldcr1	0.5018	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	198.0
11	Spectrogram 1	1	210.0	213.0	0	15000	Goldcrest	goldcr1	0.6851	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	210.0
12	Spectrogram 1	1	237.0	240.0	0	15000	Goldcrest	goldcr1	0.8881	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	237.0
13	Spectrogram 1	1	354.0	357.0	0	15000	Goldcrest	goldcr1	0.5344	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	354.0
14	Spectrogram 1	1	438.0	441.0	0	15000	Goldcrest	goldcr1	0.5348	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	438.0
15	Spectrogram 1	1	441.0	444.0	0	15000	Goldcrest	goldcr1	0.7695	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	441.0
16	Spectrogram 1	1	471.0	474.0	0	15000	Goldcrest	goldcr1	0.5969	.\sounds\realsound\red\red4\20260208\20260208_120000.WAV	471.0
