Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	198.0	201.0	0	15000	Goldcrest	goldcr1	0.5590	.\sounds\realsound\white\white4\20260220\20260220_070000.WAV	198.0
2	Spectrogram 1	1	201.0	204.0	0	15000	Goldcrest	goldcr1	0.7423	.\sounds\realsound\white\white4\20260220\20260220_070000.WAV	201.0
3	Spectrogram 1	1	204.0	207.0	0	15000	Goldcrest	goldcr1	0.7304	.\sounds\realsound\white\white4\20260220\20260220_070000.WAV	204.0
4	Spectrogram 1	1	207.0	210.0	0	15000	Goldcrest	goldcr1	0.8587	.\sounds\realsound\white\white4\20260220\20260220_070000.WAV	207.0
5	Spectrogram 1	1	225.0	228.0	0	15000	Goldcrest	goldcr1	0.8177	.\sounds\realsound\white\white4\20260220\20260220_070000.WAV	225.0
6	Spectrogram 1	1	234.0	237.0	0	15000	Goldcrest	goldcr1	0.6200	.\sounds\realsound\white\white4\20260220\20260220_070000.WAV	234.0
7	Spectrogram 1	1	237.0	240.0	0	15000	Goldcrest	goldcr1	0.8615	.\sounds\realsound\white\white4\20260220\20260220_070000.WAV	237.0
8	Spectrogram 1	1	240.0	243.0	0	15000	Goldcrest	goldcr1	0.6796	.\sounds\realsound\white\white4\20260220\20260220_070000.WAV	240.0
