Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	24.0	27.0	0	15000	Eurasian Jay	eurjay1	0.8641	.\sounds\realsound\red\red1\20260219\20260219_110000.WAV	24.0
2	Spectrogram 1	1	27.0	30.0	0	15000	Eurasian Jay	eurjay1	0.7126	.\sounds\realsound\red\red1\20260219\20260219_110000.WAV	27.0
3	Spectrogram 1	1	36.0	39.0	0	15000	Eurasian Jay	eurjay1	0.5049	.\sounds\realsound\red\red1\20260219\20260219_110000.WAV	36.0
4	Spectrogram 1	1	90.0	93.0	0	15000	Northern Lapwing	norlap	0.5100	.\sounds\realsound\red\red1\20260219\20260219_110000.WAV	90.0
5	Spectrogram 1	1	153.0	156.0	0	15000	Eurasian Nuthatch	eurnut2	0.5824	.\sounds\realsound\red\red1\20260219\20260219_110000.WAV	153.0
6	Spectrogram 1	1	264.0	267.0	0	15000	Northern Lapwing	norlap	0.5323	.\sounds\realsound\red\red1\20260219\20260219_110000.WAV	264.0
7	Spectrogram 1	1	369.0	372.0	0	15000	Spotted Crake	spocra1	0.9745	.\sounds\realsound\red\red1\20260219\20260219_110000.WAV	369.0
8	Spectrogram 1	1	372.0	375.0	0	15000	Eurasian Nuthatch	eurnut2	0.5487	.\sounds\realsound\red\red1\20260219\20260219_110000.WAV	372.0
9	Spectrogram 1	1	375.0	378.0	0	15000	Spotted Crake	spocra1	0.9251	.\sounds\realsound\red\red1\20260219\20260219_110000.WAV	375.0
10	Spectrogram 1	1	384.0	387.0	0	15000	Spotted Crake	spocra1	0.6343	.\sounds\realsound\red\red1\20260219\20260219_110000.WAV	384.0
11	Spectrogram 1	1	414.0	417.0	0	15000	Eurasian Nuthatch	eurnut2	0.5764	.\sounds\realsound\red\red1\20260219\20260219_110000.WAV	414.0
12	Spectrogram 1	1	417.0	420.0	0	15000	Eurasian Nuthatch	eurnut2	0.7669	.\sounds\realsound\red\red1\20260219\20260219_110000.WAV	417.0
13	Spectrogram 1	1	420.0	423.0	0	15000	Eurasian Nuthatch	eurnut2	0.7123	.\sounds\realsound\red\red1\20260219\20260219_110000.WAV	420.0
14	Spectrogram 1	1	429.0	432.0	0	15000	Spotted Crake	spocra1	0.5782	.\sounds\realsound\red\red1\20260219\20260219_110000.WAV	429.0
15	Spectrogram 1	1	510.0	513.0	0	15000	Eurasian Nuthatch	eurnut2	0.9310	.\sounds\realsound\red\red1\20260219\20260219_110000.WAV	510.0
