Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	288.0	291.0	0	15000	Eurasian Nuthatch	eurnut2	0.9501	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	288.0
2	Spectrogram 1	1	291.0	294.0	0	15000	Eurasian Nuthatch	eurnut2	0.8270	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	291.0
3	Spectrogram 1	1	294.0	297.0	0	15000	Eurasian Nuthatch	eurnut2	0.9468	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	294.0
4	Spectrogram 1	1	297.0	300.0	0	15000	Eurasian Nuthatch	eurnut2	0.9229	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	297.0
5	Spectrogram 1	1	336.0	339.0	0	15000	Eurasian Nuthatch	eurnut2	0.6756	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	336.0
6	Spectrogram 1	1	360.0	363.0	0	15000	Eurasian Nuthatch	eurnut2	0.8046	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	360.0
7	Spectrogram 1	1	363.0	366.0	0	15000	Eurasian Nuthatch	eurnut2	0.9738	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	363.0
8	Spectrogram 1	1	366.0	369.0	0	15000	Eurasian Nuthatch	eurnut2	0.9118	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	366.0
9	Spectrogram 1	1	372.0	375.0	0	15000	Eurasian Nuthatch	eurnut2	0.9280	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	372.0
10	Spectrogram 1	1	375.0	378.0	0	15000	Eurasian Nuthatch	eurnut2	0.7711	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	375.0
11	Spectrogram 1	1	378.0	381.0	0	15000	Eurasian Nuthatch	eurnut2	0.5461	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	378.0
12	Spectrogram 1	1	387.0	390.0	0	15000	Eurasian Nuthatch	eurnut2	0.6939	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	387.0
13	Spectrogram 1	1	390.0	393.0	0	15000	Eurasian Nuthatch	eurnut2	0.7166	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	390.0
14	Spectrogram 1	1	393.0	396.0	0	15000	Eurasian Nuthatch	eurnut2	0.8503	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	393.0
15	Spectrogram 1	1	396.0	399.0	0	15000	Eurasian Nuthatch	eurnut2	0.9765	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	396.0
16	Spectrogram 1	1	402.0	405.0	0	15000	Eurasian Nuthatch	eurnut2	0.9454	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	402.0
17	Spectrogram 1	1	405.0	408.0	0	15000	Eurasian Nuthatch	eurnut2	0.8877	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	405.0
18	Spectrogram 1	1	660.0	663.0	0	15000	Eurasian Nuthatch	eurnut2	0.8520	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	660.0
19	Spectrogram 1	1	666.0	669.0	0	15000	Eurasian Nuthatch	eurnut2	0.6135	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	666.0
20	Spectrogram 1	1	675.0	678.0	0	15000	Eurasian Nuthatch	eurnut2	0.6487	.\sounds\realsound\white\white3\20260214\20260214_100000.WAV	675.0
