Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	3.0	6.0	0	15000	Crested Tit	cretit2	0.7899	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	3.0
2	Spectrogram 1	1	6.0	9.0	0	15000	Crested Tit	cretit2	0.9260	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	6.0
3	Spectrogram 1	1	12.0	15.0	0	15000	Crested Tit	cretit2	0.8771	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	12.0
4	Spectrogram 1	1	15.0	18.0	0	15000	Crested Tit	cretit2	0.7442	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	15.0
5	Spectrogram 1	1	18.0	21.0	0	15000	Crested Tit	cretit2	0.9437	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	18.0
6	Spectrogram 1	1	36.0	39.0	0	15000	Crested Tit	cretit2	0.8207	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	36.0
7	Spectrogram 1	1	45.0	48.0	0	15000	Crested Tit	cretit2	0.9980	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	45.0
8	Spectrogram 1	1	48.0	51.0	0	15000	Crested Tit	cretit2	0.9700	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	48.0
9	Spectrogram 1	1	81.0	84.0	0	15000	Crested Tit	cretit2	0.9592	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	81.0
10	Spectrogram 1	1	84.0	87.0	0	15000	Crested Tit	cretit2	0.9960	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	84.0
11	Spectrogram 1	1	120.0	123.0	0	15000	Eurasian Nuthatch	eurnut2	0.8910	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	120.0
12	Spectrogram 1	1	135.0	138.0	0	15000	Goldcrest	goldcr1	0.5012	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	135.0
13	Spectrogram 1	1	138.0	141.0	0	15000	Crested Tit	cretit2	0.7426	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	138.0
14	Spectrogram 1	1	141.0	144.0	0	15000	Goldcrest	goldcr1	0.6572	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	141.0
15	Spectrogram 1	1	147.0	150.0	0	15000	Eurasian Nuthatch	eurnut2	0.9102	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	147.0
16	Spectrogram 1	1	150.0	153.0	0	15000	Crested Tit	cretit2	0.9931	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	150.0
17	Spectrogram 1	1	153.0	156.0	0	15000	Crested Tit	cretit2	0.9785	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	153.0
18	Spectrogram 1	1	183.0	186.0	0	15000	Crested Tit	cretit2	0.8339	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	183.0
19	Spectrogram 1	1	186.0	189.0	0	15000	Crested Tit	cretit2	0.8627	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	186.0
20	Spectrogram 1	1	192.0	195.0	0	15000	Crested Tit	cretit2	0.9414	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	192.0
21	Spectrogram 1	1	195.0	198.0	0	15000	Crested Tit	cretit2	0.9424	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	195.0
22	Spectrogram 1	1	204.0	207.0	0	15000	Crested Tit	cretit2	0.9922	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	204.0
23	Spectrogram 1	1	207.0	210.0	0	15000	Crested Tit	cretit2	0.9744	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	207.0
24	Spectrogram 1	1	210.0	213.0	0	15000	Crested Tit	cretit2	0.9155	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	210.0
25	Spectrogram 1	1	213.0	216.0	0	15000	Goldcrest	goldcr1	0.5015	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	213.0
26	Spectrogram 1	1	219.0	222.0	0	15000	Crested Tit	cretit2	0.9954	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	219.0
27	Spectrogram 1	1	222.0	225.0	0	15000	Crested Tit	cretit2	0.9483	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	222.0
28	Spectrogram 1	1	225.0	228.0	0	15000	Crested Tit	cretit2	0.9864	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	225.0
29	Spectrogram 1	1	237.0	240.0	0	15000	Eurasian Nuthatch	eurnut2	0.9692	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	237.0
30	Spectrogram 1	1	240.0	243.0	0	15000	Eurasian Nuthatch	eurnut2	0.9422	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	240.0
31	Spectrogram 1	1	243.0	246.0	0	15000	Eurasian Nuthatch	eurnut2	0.9511	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	243.0
32	Spectrogram 1	1	246.0	249.0	0	15000	Eurasian Nuthatch	eurnut2	0.6714	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	246.0
33	Spectrogram 1	1	249.0	252.0	0	15000	Eurasian Nuthatch	eurnut2	0.9199	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	249.0
34	Spectrogram 1	1	252.0	255.0	0	15000	Eurasian Nuthatch	eurnut2	0.9252	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	252.0
35	Spectrogram 1	1	255.0	258.0	0	15000	Northern Lapwing	norlap	0.8638	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	255.0
36	Spectrogram 1	1	255.0	258.0	0	15000	Eurasian Nuthatch	eurnut2	0.5004	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	255.0
37	Spectrogram 1	1	258.0	261.0	0	15000	Eurasian Nuthatch	eurnut2	0.8469	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	258.0
38	Spectrogram 1	1	258.0	261.0	0	15000	Northern Lapwing	norlap	0.7498	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	258.0
39	Spectrogram 1	1	261.0	264.0	0	15000	Eurasian Nuthatch	eurnut2	0.9655	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	261.0
40	Spectrogram 1	1	264.0	267.0	0	15000	Eurasian Nuthatch	eurnut2	0.7728	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	264.0
41	Spectrogram 1	1	267.0	270.0	0	15000	Eurasian Nuthatch	eurnut2	0.9228	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	267.0
42	Spectrogram 1	1	270.0	273.0	0	15000	Eurasian Nuthatch	eurnut2	0.8342	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	270.0
43	Spectrogram 1	1	276.0	279.0	0	15000	Spotted Crake	spocra1	0.5696	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	276.0
44	Spectrogram 1	1	282.0	285.0	0	15000	Spotted Crake	spocra1	0.9252	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	282.0
45	Spectrogram 1	1	282.0	285.0	0	15000	Eurasian Nuthatch	eurnut2	0.8576	.\sounds\realsound\white\white3\20260212\20260212_090000.WAV	282.0
