Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	39.0	42.0	0	15000	Goldcrest	goldcr1	0.6200	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	39.0
2	Spectrogram 1	1	48.0	51.0	0	15000	Coal Tit	coatit2	0.8806	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	48.0
3	Spectrogram 1	1	63.0	66.0	0	15000	Coal Tit	coatit2	0.5473	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	63.0
4	Spectrogram 1	1	69.0	72.0	0	15000	Coal Tit	coatit2	0.7328	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	69.0
5	Spectrogram 1	1	72.0	75.0	0	15000	Coal Tit	coatit2	0.5313	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	72.0
6	Spectrogram 1	1	81.0	84.0	0	15000	Coal Tit	coatit2	0.7585	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	81.0
7	Spectrogram 1	1	84.0	87.0	0	15000	Coal Tit	coatit2	0.8193	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	84.0
8	Spectrogram 1	1	87.0	90.0	0	15000	Coal Tit	coatit2	0.5849	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	87.0
9	Spectrogram 1	1	90.0	93.0	0	15000	Coal Tit	coatit2	0.7442	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	90.0
10	Spectrogram 1	1	93.0	96.0	0	15000	Coal Tit	coatit2	0.6358	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	93.0
11	Spectrogram 1	1	99.0	102.0	0	15000	Coal Tit	coatit2	0.7146	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	99.0
12	Spectrogram 1	1	102.0	105.0	0	15000	Coal Tit	coatit2	0.7548	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	102.0
13	Spectrogram 1	1	111.0	114.0	0	15000	Coal Tit	coatit2	0.6196	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	111.0
14	Spectrogram 1	1	120.0	123.0	0	15000	Coal Tit	coatit2	0.8816	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	120.0
15	Spectrogram 1	1	126.0	129.0	0	15000	Coal Tit	coatit2	0.8391	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	126.0
16	Spectrogram 1	1	129.0	132.0	0	15000	Coal Tit	coatit2	0.7381	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	129.0
17	Spectrogram 1	1	132.0	135.0	0	15000	Coal Tit	coatit2	0.5266	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	132.0
18	Spectrogram 1	1	135.0	138.0	0	15000	Coal Tit	coatit2	0.6733	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	135.0
19	Spectrogram 1	1	141.0	144.0	0	15000	Coal Tit	coatit2	0.8195	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	141.0
20	Spectrogram 1	1	144.0	147.0	0	15000	Coal Tit	coatit2	0.8999	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	144.0
21	Spectrogram 1	1	147.0	150.0	0	15000	Coal Tit	coatit2	0.7350	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	147.0
22	Spectrogram 1	1	150.0	153.0	0	15000	Coal Tit	coatit2	0.9285	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	150.0
23	Spectrogram 1	1	156.0	159.0	0	15000	Coal Tit	coatit2	0.8367	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	156.0
24	Spectrogram 1	1	159.0	162.0	0	15000	Coal Tit	coatit2	0.7786	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	159.0
25	Spectrogram 1	1	165.0	168.0	0	15000	Coal Tit	coatit2	0.8725	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	165.0
26	Spectrogram 1	1	171.0	174.0	0	15000	Coal Tit	coatit2	0.7504	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	171.0
27	Spectrogram 1	1	174.0	177.0	0	15000	Coal Tit	coatit2	0.5859	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	174.0
28	Spectrogram 1	1	177.0	180.0	0	15000	Coal Tit	coatit2	0.7276	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	177.0
29	Spectrogram 1	1	183.0	186.0	0	15000	Coal Tit	coatit2	0.5655	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	183.0
30	Spectrogram 1	1	192.0	195.0	0	15000	Coal Tit	coatit2	0.6688	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	192.0
31	Spectrogram 1	1	195.0	198.0	0	15000	Coal Tit	coatit2	0.8915	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	195.0
32	Spectrogram 1	1	198.0	201.0	0	15000	Coal Tit	coatit2	0.6938	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	198.0
33	Spectrogram 1	1	201.0	204.0	0	15000	Coal Tit	coatit2	0.5136	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	201.0
34	Spectrogram 1	1	207.0	210.0	0	15000	Coal Tit	coatit2	0.7272	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	207.0
35	Spectrogram 1	1	219.0	222.0	0	15000	Coal Tit	coatit2	0.8357	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	219.0
36	Spectrogram 1	1	291.0	294.0	0	15000	Coal Tit	coatit2	0.5109	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	291.0
37	Spectrogram 1	1	384.0	387.0	0	15000	Coal Tit	coatit2	0.9597	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	384.0
38	Spectrogram 1	1	393.0	396.0	0	15000	Coal Tit	coatit2	0.7329	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	393.0
39	Spectrogram 1	1	399.0	402.0	0	15000	Coal Tit	coatit2	0.9897	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	399.0
40	Spectrogram 1	1	402.0	405.0	0	15000	Coal Tit	coatit2	0.9674	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	402.0
41	Spectrogram 1	1	411.0	414.0	0	15000	Coal Tit	coatit2	0.7653	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	411.0
42	Spectrogram 1	1	627.0	630.0	0	15000	Eurasian Nuthatch	eurnut2	0.5458	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	627.0
43	Spectrogram 1	1	630.0	633.0	0	15000	Crested Tit	cretit2	0.9306	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	630.0
44	Spectrogram 1	1	633.0	636.0	0	15000	Crested Tit	cretit2	0.6709	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	633.0
45	Spectrogram 1	1	636.0	639.0	0	15000	Crested Tit	cretit2	0.5784	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	636.0
46	Spectrogram 1	1	639.0	642.0	0	15000	Eurasian Nuthatch	eurnut2	0.6038	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	639.0
47	Spectrogram 1	1	642.0	645.0	0	15000	Eurasian Nuthatch	eurnut2	0.7876	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	642.0
48	Spectrogram 1	1	648.0	651.0	0	15000	Eurasian Nuthatch	eurnut2	0.8160	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	648.0
49	Spectrogram 1	1	651.0	654.0	0	15000	Eurasian Nuthatch	eurnut2	0.7991	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	651.0
50	Spectrogram 1	1	657.0	660.0	0	15000	Eurasian Nuthatch	eurnut2	0.8120	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	657.0
51	Spectrogram 1	1	660.0	663.0	0	15000	Eurasian Nuthatch	eurnut2	0.8950	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	660.0
52	Spectrogram 1	1	663.0	666.0	0	15000	Eurasian Nuthatch	eurnut2	0.8385	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	663.0
53	Spectrogram 1	1	666.0	669.0	0	15000	Eurasian Nuthatch	eurnut2	0.8722	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	666.0
54	Spectrogram 1	1	669.0	672.0	0	15000	Eurasian Nuthatch	eurnut2	0.6911	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	669.0
55	Spectrogram 1	1	672.0	675.0	0	15000	Eurasian Nuthatch	eurnut2	0.9727	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	672.0
56	Spectrogram 1	1	675.0	678.0	0	15000	Spotted Crake	spocra1	0.7056	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	675.0
57	Spectrogram 1	1	690.0	693.0	0	15000	Eurasian Nuthatch	eurnut2	0.6469	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	690.0
58	Spectrogram 1	1	699.0	702.0	0	15000	Eurasian Nuthatch	eurnut2	0.7403	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	699.0
59	Spectrogram 1	1	705.0	708.0	0	15000	Coal Tit	coatit2	0.9332	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	705.0
60	Spectrogram 1	1	708.0	711.0	0	15000	Coal Tit	coatit2	0.9529	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	708.0
61	Spectrogram 1	1	711.0	714.0	0	15000	Coal Tit	coatit2	0.8644	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	711.0
62	Spectrogram 1	1	714.0	717.0	0	15000	Coal Tit	coatit2	0.7622	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	714.0
63	Spectrogram 1	1	717.0	720.0	0	15000	Coal Tit	coatit2	0.5258	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	717.0
64	Spectrogram 1	1	720.0	723.0	0	15000	Coal Tit	coatit2	0.9233	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	720.0
65	Spectrogram 1	1	723.0	726.0	0	15000	Coal Tit	coatit2	0.9234	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	723.0
66	Spectrogram 1	1	726.0	729.0	0	15000	Coal Tit	coatit2	0.9935	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	726.0
67	Spectrogram 1	1	729.0	732.0	0	15000	Coal Tit	coatit2	0.8920	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	729.0
68	Spectrogram 1	1	732.0	735.0	0	15000	Coal Tit	coatit2	0.7945	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	732.0
69	Spectrogram 1	1	735.0	738.0	0	15000	Coal Tit	coatit2	0.8418	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	735.0
70	Spectrogram 1	1	738.0	741.0	0	15000	Coal Tit	coatit2	0.8050	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	738.0
71	Spectrogram 1	1	810.0	813.0	0	15000	Eurasian Nuthatch	eurnut2	0.6138	.\sounds\realsound\white\white3\20260212\20260212_120000.WAV	810.0
