Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	30.0	33.0	0	15000	Goldcrest	goldcr1	0.6863	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	30.0
2	Spectrogram 1	1	54.0	57.0	0	15000	Goldcrest	goldcr1	0.6813	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	54.0
3	Spectrogram 1	1	93.0	96.0	0	15000	Eurasian Bullfinch	eurbul	0.5182	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	93.0
4	Spectrogram 1	1	126.0	129.0	0	15000	Eurasian Bullfinch	eurbul	0.5733	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	126.0
5	Spectrogram 1	1	150.0	153.0	0	15000	Eurasian Bullfinch	eurbul	0.8199	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	150.0
6	Spectrogram 1	1	189.0	192.0	0	15000	Long-eared Owl	loeowl	0.9512	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	189.0
7	Spectrogram 1	1	195.0	198.0	0	15000	Long-eared Owl	loeowl	0.9540	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	195.0
8	Spectrogram 1	1	201.0	204.0	0	15000	Long-eared Owl	loeowl	0.8036	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	201.0
9	Spectrogram 1	1	207.0	210.0	0	15000	Long-eared Owl	loeowl	0.8178	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	207.0
10	Spectrogram 1	1	258.0	261.0	0	15000	Long-eared Owl	loeowl	0.9693	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	258.0
11	Spectrogram 1	1	276.0	279.0	0	15000	Eurasian Bullfinch	eurbul	0.6551	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	276.0
12	Spectrogram 1	1	279.0	282.0	0	15000	Goldcrest	goldcr1	0.5327	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	279.0
13	Spectrogram 1	1	288.0	291.0	0	15000	Eurasian Bullfinch	eurbul	0.5660	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	288.0
14	Spectrogram 1	1	291.0	294.0	0	15000	Eurasian Bullfinch	eurbul	0.7709	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	291.0
15	Spectrogram 1	1	300.0	303.0	0	15000	Eurasian Bullfinch	eurbul	0.9761	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	300.0
16	Spectrogram 1	1	303.0	306.0	0	15000	Eurasian Bullfinch	eurbul	0.6454	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	303.0
17	Spectrogram 1	1	312.0	315.0	0	15000	Eurasian Bullfinch	eurbul	0.8954	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	312.0
18	Spectrogram 1	1	321.0	324.0	0	15000	Coal Tit	coatit2	0.5683	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	321.0
19	Spectrogram 1	1	360.0	363.0	0	15000	Coal Tit	coatit2	0.7531	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	360.0
20	Spectrogram 1	1	549.0	552.0	0	15000	Goldcrest	goldcr1	0.7067	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	549.0
21	Spectrogram 1	1	561.0	564.0	0	15000	Goldcrest	goldcr1	0.8860	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	561.0
22	Spectrogram 1	1	570.0	573.0	0	15000	Goldcrest	goldcr1	0.8141	.\sounds\realsound\white\white2\20260208\20260208_070000.WAV	570.0
