Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	18.0	21.0	0	15000	Goldcrest	goldcr1	0.8472	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	18.0
2	Spectrogram 1	1	30.0	33.0	0	15000	Goldcrest	goldcr1	0.6481	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	30.0
3	Spectrogram 1	1	57.0	60.0	0	15000	Goldcrest	goldcr1	0.7757	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	57.0
4	Spectrogram 1	1	66.0	69.0	0	15000	Goldcrest	goldcr1	0.5918	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	66.0
5	Spectrogram 1	1	72.0	75.0	0	15000	Goldcrest	goldcr1	0.7433	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	72.0
6	Spectrogram 1	1	78.0	81.0	0	15000	Goldcrest	goldcr1	0.6610	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	78.0
7	Spectrogram 1	1	81.0	84.0	0	15000	Goldcrest	goldcr1	0.7876	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	81.0
8	Spectrogram 1	1	84.0	87.0	0	15000	Goldcrest	goldcr1	0.6942	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	84.0
9	Spectrogram 1	1	87.0	90.0	0	15000	Goldcrest	goldcr1	0.8131	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	87.0
10	Spectrogram 1	1	108.0	111.0	0	15000	European Robin	eurrob1	0.5070	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	108.0
11	Spectrogram 1	1	144.0	147.0	0	15000	Goldcrest	goldcr1	0.7472	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	144.0
12	Spectrogram 1	1	153.0	156.0	0	15000	Goldcrest	goldcr1	0.5934	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	153.0
13	Spectrogram 1	1	249.0	252.0	0	15000	Goldcrest	goldcr1	0.5777	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	249.0
14	Spectrogram 1	1	273.0	276.0	0	15000	Goldcrest	goldcr1	0.6233	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	273.0
15	Spectrogram 1	1	294.0	297.0	0	15000	Goldcrest	goldcr1	0.7871	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	294.0
16	Spectrogram 1	1	300.0	303.0	0	15000	Goldcrest	goldcr1	0.6533	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	300.0
17	Spectrogram 1	1	303.0	306.0	0	15000	Goldcrest	goldcr1	0.5138	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	303.0
18	Spectrogram 1	1	324.0	327.0	0	15000	Goldcrest	goldcr1	0.5566	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	324.0
19	Spectrogram 1	1	327.0	330.0	0	15000	Goldcrest	goldcr1	0.5513	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	327.0
20	Spectrogram 1	1	351.0	354.0	0	15000	Goldcrest	goldcr1	0.7435	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	351.0
21	Spectrogram 1	1	357.0	360.0	0	15000	Goldcrest	goldcr1	0.5537	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	357.0
22	Spectrogram 1	1	360.0	363.0	0	15000	Goldcrest	goldcr1	0.7347	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	360.0
23	Spectrogram 1	1	363.0	366.0	0	15000	Goldcrest	goldcr1	0.6745	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	363.0
24	Spectrogram 1	1	381.0	384.0	0	15000	Goldcrest	goldcr1	0.6806	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	381.0
25	Spectrogram 1	1	390.0	393.0	0	15000	Goldcrest	goldcr1	0.7099	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	390.0
26	Spectrogram 1	1	408.0	411.0	0	15000	Goldcrest	goldcr1	0.7197	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	408.0
27	Spectrogram 1	1	411.0	414.0	0	15000	Goldcrest	goldcr1	0.8811	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	411.0
28	Spectrogram 1	1	417.0	420.0	0	15000	Goldcrest	goldcr1	0.6711	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	417.0
29	Spectrogram 1	1	420.0	423.0	0	15000	Goldcrest	goldcr1	0.6111	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	420.0
30	Spectrogram 1	1	549.0	552.0	0	15000	Goldcrest	goldcr1	0.7409	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	549.0
31	Spectrogram 1	1	552.0	555.0	0	15000	Goldcrest	goldcr1	0.5952	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	552.0
32	Spectrogram 1	1	555.0	558.0	0	15000	Goldcrest	goldcr1	0.9685	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	555.0
33	Spectrogram 1	1	663.0	666.0	0	15000	Goldcrest	goldcr1	0.5813	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	663.0
34	Spectrogram 1	1	666.0	669.0	0	15000	Goldcrest	goldcr1	0.5923	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	666.0
35	Spectrogram 1	1	672.0	675.0	0	15000	Goldcrest	goldcr1	0.6444	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	672.0
36	Spectrogram 1	1	675.0	678.0	0	15000	Goldcrest	goldcr1	0.6676	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	675.0
37	Spectrogram 1	1	678.0	681.0	0	15000	Goldcrest	goldcr1	0.5354	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	678.0
38	Spectrogram 1	1	690.0	693.0	0	15000	Goldcrest	goldcr1	0.5408	.\sounds\realsound\white\white2\20260205\20260205_150000.WAV	690.0
