Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	15000	Coal Tit	coatit2	0.9114	.\sounds\realsound\red\red3\20260208\20260208_100000.WAV	0.0
2	Spectrogram 1	1	3.0	6.0	0	15000	Goldcrest	goldcr1	0.7182	.\sounds\realsound\red\red3\20260208\20260208_100000.WAV	3.0
3	Spectrogram 1	1	6.0	9.0	0	15000	Coal Tit	coatit2	0.8833	.\sounds\realsound\red\red3\20260208\20260208_100000.WAV	6.0
4	Spectrogram 1	1	12.0	15.0	0	15000	Coal Tit	coatit2	0.9570	.\sounds\realsound\red\red3\20260208\20260208_100000.WAV	12.0
5	Spectrogram 1	1	15.0	18.0	0	15000	Goldcrest	goldcr1	0.6404	.\sounds\realsound\red\red3\20260208\20260208_100000.WAV	15.0
6	Spectrogram 1	1	18.0	21.0	0	15000	Coal Tit	coatit2	0.6799	.\sounds\realsound\red\red3\20260208\20260208_100000.WAV	18.0
7	Spectrogram 1	1	21.0	24.0	0	15000	Coal Tit	coatit2	0.9530	.\sounds\realsound\red\red3\20260208\20260208_100000.WAV	21.0
8	Spectrogram 1	1	24.0	27.0	0	15000	Coal Tit	coatit2	0.8746	.\sounds\realsound\red\red3\20260208\20260208_100000.WAV	24.0
9	Spectrogram 1	1	30.0	33.0	0	15000	Goldcrest	goldcr1	0.5187	.\sounds\realsound\red\red3\20260208\20260208_100000.WAV	30.0
10	Spectrogram 1	1	36.0	39.0	0	15000	Coal Tit	coatit2	0.5826	.\sounds\realsound\red\red3\20260208\20260208_100000.WAV	36.0
11	Spectrogram 1	1	48.0	51.0	0	15000	Goldcrest	goldcr1	0.8319	.\sounds\realsound\red\red3\20260208\20260208_100000.WAV	48.0
12	Spectrogram 1	1	51.0	54.0	0	15000	Goldcrest	goldcr1	0.6218	.\sounds\realsound\red\red3\20260208\20260208_100000.WAV	51.0
13	Spectrogram 1	1	63.0	66.0	0	15000	Goldcrest	goldcr1	0.5995	.\sounds\realsound\red\red3\20260208\20260208_100000.WAV	63.0
14	Spectrogram 1	1	72.0	75.0	0	15000	Coal Tit	coatit2	0.8518	.\sounds\realsound\red\red3\20260208\20260208_100000.WAV	72.0
15	Spectrogram 1	1	78.0	81.0	0	15000	Coal Tit	coatit2	0.6693	.\sounds\realsound\red\red3\20260208\20260208_100000.WAV	78.0
