Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	258.0	261.0	0	15000	Great Spotted Woodpecker	grswoo	0.5339	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	258.0
2	Spectrogram 1	1	267.0	270.0	0	15000	Great Spotted Woodpecker	grswoo	0.5130	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	267.0
3	Spectrogram 1	1	276.0	279.0	0	15000	Great Spotted Woodpecker	grswoo	0.6982	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	276.0
4	Spectrogram 1	1	282.0	285.0	0	15000	Great Spotted Woodpecker	grswoo	0.6779	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	282.0
5	Spectrogram 1	1	291.0	294.0	0	15000	Great Spotted Woodpecker	grswoo	0.5893	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	291.0
6	Spectrogram 1	1	294.0	297.0	0	15000	Great Spotted Woodpecker	grswoo	0.7833	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	294.0
7	Spectrogram 1	1	297.0	300.0	0	15000	Great Spotted Woodpecker	grswoo	0.8483	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	297.0
8	Spectrogram 1	1	300.0	303.0	0	15000	Great Spotted Woodpecker	grswoo	0.8629	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	300.0
9	Spectrogram 1	1	303.0	306.0	0	15000	Great Spotted Woodpecker	grswoo	0.8162	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	303.0
10	Spectrogram 1	1	312.0	315.0	0	15000	Great Spotted Woodpecker	grswoo	0.9167	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	312.0
11	Spectrogram 1	1	315.0	318.0	0	15000	Great Spotted Woodpecker	grswoo	0.6823	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	315.0
12	Spectrogram 1	1	318.0	321.0	0	15000	Great Spotted Woodpecker	grswoo	0.7765	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	318.0
13	Spectrogram 1	1	321.0	324.0	0	15000	Great Spotted Woodpecker	grswoo	0.5107	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	321.0
14	Spectrogram 1	1	327.0	330.0	0	15000	Great Spotted Woodpecker	grswoo	0.7415	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	327.0
15	Spectrogram 1	1	330.0	333.0	0	15000	Great Spotted Woodpecker	grswoo	0.8701	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	330.0
16	Spectrogram 1	1	339.0	342.0	0	15000	Great Spotted Woodpecker	grswoo	0.8256	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	339.0
17	Spectrogram 1	1	345.0	348.0	0	15000	Great Spotted Woodpecker	grswoo	0.7784	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	345.0
18	Spectrogram 1	1	348.0	351.0	0	15000	Great Spotted Woodpecker	grswoo	0.8908	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	348.0
19	Spectrogram 1	1	351.0	354.0	0	15000	Great Spotted Woodpecker	grswoo	0.5786	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	351.0
20	Spectrogram 1	1	354.0	357.0	0	15000	Great Spotted Woodpecker	grswoo	0.7471	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	354.0
21	Spectrogram 1	1	360.0	363.0	0	15000	Great Spotted Woodpecker	grswoo	0.7907	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	360.0
22	Spectrogram 1	1	363.0	366.0	0	15000	Great Spotted Woodpecker	grswoo	0.7073	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	363.0
23	Spectrogram 1	1	366.0	369.0	0	15000	Great Spotted Woodpecker	grswoo	0.7827	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	366.0
24	Spectrogram 1	1	369.0	372.0	0	15000	Great Spotted Woodpecker	grswoo	0.6249	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	369.0
25	Spectrogram 1	1	372.0	375.0	0	15000	Great Spotted Woodpecker	grswoo	0.7282	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	372.0
26	Spectrogram 1	1	387.0	390.0	0	15000	Great Spotted Woodpecker	grswoo	0.6465	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	387.0
27	Spectrogram 1	1	390.0	393.0	0	15000	Great Spotted Woodpecker	grswoo	0.7453	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	390.0
28	Spectrogram 1	1	474.0	477.0	0	15000	Great Spotted Woodpecker	grswoo	0.8821	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	474.0
29	Spectrogram 1	1	492.0	495.0	0	15000	Great Spotted Woodpecker	grswoo	0.8345	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	492.0
30	Spectrogram 1	1	498.0	501.0	0	15000	Great Spotted Woodpecker	grswoo	0.6186	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	498.0
31	Spectrogram 1	1	621.0	624.0	0	15000	Coal Tit	coatit2	0.9118	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	621.0
32	Spectrogram 1	1	630.0	633.0	0	15000	Coal Tit	coatit2	0.8847	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	630.0
33	Spectrogram 1	1	774.0	777.0	0	15000	Coal Tit	coatit2	0.7560	.\sounds\realsound\white\white3\20260206\20260206_110000.WAV	774.0
