Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	15000	Eurasian Magpie	eurmag1	0.9435	.\sounds\realsound\red\red1\20260211\20260211_130000.WAV	0.0
2	Spectrogram 1	1	12.0	15.0	0	15000	Eurasian Magpie	eurmag1	0.9643	.\sounds\realsound\red\red1\20260211\20260211_130000.WAV	12.0
3	Spectrogram 1	1	18.0	21.0	0	15000	Eurasian Magpie	eurmag1	0.9146	.\sounds\realsound\red\red1\20260211\20260211_130000.WAV	18.0
4	Spectrogram 1	1	30.0	33.0	0	15000	Eurasian Magpie	eurmag1	0.9771	.\sounds\realsound\red\red1\20260211\20260211_130000.WAV	30.0
5	Spectrogram 1	1	87.0	90.0	0	15000	Tawny Owl	tawowl1	0.8580	.\sounds\realsound\red\red1\20260211\20260211_130000.WAV	87.0
6	Spectrogram 1	1	102.0	105.0	0	15000	Tawny Owl	tawowl1	0.5334	.\sounds\realsound\red\red1\20260211\20260211_130000.WAV	102.0
7	Spectrogram 1	1	132.0	135.0	0	15000	Common Loon	comloo	0.6970	.\sounds\realsound\red\red1\20260211\20260211_130000.WAV	132.0
8	Spectrogram 1	1	855.0	858.0	0	15000	Great Bittern	grebit1	0.5961	.\sounds\realsound\red\red1\20260211\20260211_130000.WAV	855.0
