Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	15000	Goldcrest	goldcr1	0.7754	.\sounds\realsound\red\red3\20260215\20260215_080000.WAV	0.0
2	Spectrogram 1	1	15.0	18.0	0	15000	Crested Tit	cretit2	0.9084	.\sounds\realsound\red\red3\20260215\20260215_080000.WAV	15.0
3	Spectrogram 1	1	18.0	21.0	0	15000	Crested Tit	cretit2	0.8527	.\sounds\realsound\red\red3\20260215\20260215_080000.WAV	18.0
4	Spectrogram 1	1	21.0	24.0	0	15000	Crested Tit	cretit2	0.9109	.\sounds\realsound\red\red3\20260215\20260215_080000.WAV	21.0
5	Spectrogram 1	1	24.0	27.0	0	15000	Crested Tit	cretit2	0.8962	.\sounds\realsound\red\red3\20260215\20260215_080000.WAV	24.0
6	Spectrogram 1	1	33.0	36.0	0	15000	Crested Tit	cretit2	0.9205	.\sounds\realsound\red\red3\20260215\20260215_080000.WAV	33.0
7	Spectrogram 1	1	39.0	42.0	0	15000	Crested Tit	cretit2	0.8365	.\sounds\realsound\red\red3\20260215\20260215_080000.WAV	39.0
8	Spectrogram 1	1	42.0	45.0	0	15000	Goldcrest	goldcr1	0.5564	.\sounds\realsound\red\red3\20260215\20260215_080000.WAV	42.0
9	Spectrogram 1	1	63.0	66.0	0	15000	Crested Tit	cretit2	0.7243	.\sounds\realsound\red\red3\20260215\20260215_080000.WAV	63.0
10	Spectrogram 1	1	105.0	108.0	0	15000	Goldcrest	goldcr1	0.5598	.\sounds\realsound\red\red3\20260215\20260215_080000.WAV	105.0
11	Spectrogram 1	1	114.0	117.0	0	15000	Crested Tit	cretit2	0.5506	.\sounds\realsound\red\red3\20260215\20260215_080000.WAV	114.0
12	Spectrogram 1	1	126.0	129.0	0	15000	Crested Tit	cretit2	0.5011	.\sounds\realsound\red\red3\20260215\20260215_080000.WAV	126.0
13	Spectrogram 1	1	144.0	147.0	0	15000	Goldcrest	goldcr1	0.5846	.\sounds\realsound\red\red3\20260215\20260215_080000.WAV	144.0
14	Spectrogram 1	1	228.0	231.0	0	15000	Coal Tit	coatit2	0.6595	.\sounds\realsound\red\red3\20260215\20260215_080000.WAV	228.0
15	Spectrogram 1	1	231.0	234.0	0	15000	Goldcrest	goldcr1	0.5589	.\sounds\realsound\red\red3\20260215\20260215_080000.WAV	231.0
