Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	303.0	306.0	0	15000	Coal Tit	coatit2	0.6153	.\sounds\realsound\white\white1\20260212\20260212_100000.WAV	303.0
2	Spectrogram 1	1	306.0	309.0	0	15000	Coal Tit	coatit2	0.8479	.\sounds\realsound\white\white1\20260212\20260212_100000.WAV	306.0
3	Spectrogram 1	1	309.0	312.0	0	15000	Coal Tit	coatit2	0.8563	.\sounds\realsound\white\white1\20260212\20260212_100000.WAV	309.0
4	Spectrogram 1	1	312.0	315.0	0	15000	Coal Tit	coatit2	0.7023	.\sounds\realsound\white\white1\20260212\20260212_100000.WAV	312.0
5	Spectrogram 1	1	318.0	321.0	0	15000	Coal Tit	coatit2	0.9348	.\sounds\realsound\white\white1\20260212\20260212_100000.WAV	318.0
6	Spectrogram 1	1	324.0	327.0	0	15000	Coal Tit	coatit2	0.8328	.\sounds\realsound\white\white1\20260212\20260212_100000.WAV	324.0
7	Spectrogram 1	1	330.0	333.0	0	15000	Coal Tit	coatit2	0.7986	.\sounds\realsound\white\white1\20260212\20260212_100000.WAV	330.0
8	Spectrogram 1	1	333.0	336.0	0	15000	Coal Tit	coatit2	0.9398	.\sounds\realsound\white\white1\20260212\20260212_100000.WAV	333.0
9	Spectrogram 1	1	336.0	339.0	0	15000	Coal Tit	coatit2	0.8838	.\sounds\realsound\white\white1\20260212\20260212_100000.WAV	336.0
10	Spectrogram 1	1	342.0	345.0	0	15000	Coal Tit	coatit2	0.8504	.\sounds\realsound\white\white1\20260212\20260212_100000.WAV	342.0
11	Spectrogram 1	1	345.0	348.0	0	15000	Coal Tit	coatit2	0.8263	.\sounds\realsound\white\white1\20260212\20260212_100000.WAV	345.0
12	Spectrogram 1	1	348.0	351.0	0	15000	Coal Tit	coatit2	0.7967	.\sounds\realsound\white\white1\20260212\20260212_100000.WAV	348.0
13	Spectrogram 1	1	351.0	354.0	0	15000	Coal Tit	coatit2	0.7667	.\sounds\realsound\white\white1\20260212\20260212_100000.WAV	351.0
