Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	642.0	645.0	0	15000	Coal Tit	coatit2	0.9202	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	642.0
2	Spectrogram 1	1	648.0	651.0	0	15000	Coal Tit	coatit2	0.8481	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	648.0
3	Spectrogram 1	1	651.0	654.0	0	15000	Coal Tit	coatit2	0.9559	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	651.0
4	Spectrogram 1	1	654.0	657.0	0	15000	Coal Tit	coatit2	0.9008	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	654.0
5	Spectrogram 1	1	666.0	669.0	0	15000	Coal Tit	coatit2	0.5809	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	666.0
6	Spectrogram 1	1	672.0	675.0	0	15000	Coal Tit	coatit2	0.6494	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	672.0
7	Spectrogram 1	1	690.0	693.0	0	15000	Coal Tit	coatit2	0.5210	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	690.0
8	Spectrogram 1	1	693.0	696.0	0	15000	Coal Tit	coatit2	0.7997	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	693.0
9	Spectrogram 1	1	696.0	699.0	0	15000	Coal Tit	coatit2	0.8150	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	696.0
10	Spectrogram 1	1	699.0	702.0	0	15000	Coal Tit	coatit2	0.8400	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	699.0
11	Spectrogram 1	1	702.0	705.0	0	15000	Coal Tit	coatit2	0.8459	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	702.0
12	Spectrogram 1	1	705.0	708.0	0	15000	Coal Tit	coatit2	0.8753	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	705.0
13	Spectrogram 1	1	708.0	711.0	0	15000	Coal Tit	coatit2	0.6237	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	708.0
14	Spectrogram 1	1	711.0	714.0	0	15000	Coal Tit	coatit2	0.6381	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	711.0
15	Spectrogram 1	1	717.0	720.0	0	15000	Coal Tit	coatit2	0.8232	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	717.0
16	Spectrogram 1	1	720.0	723.0	0	15000	Coal Tit	coatit2	0.7403	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	720.0
17	Spectrogram 1	1	723.0	726.0	0	15000	Coal Tit	coatit2	0.8336	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	723.0
18	Spectrogram 1	1	726.0	729.0	0	15000	Coal Tit	coatit2	0.7680	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	726.0
19	Spectrogram 1	1	735.0	738.0	0	15000	Coal Tit	coatit2	0.8159	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	735.0
20	Spectrogram 1	1	738.0	741.0	0	15000	Coal Tit	coatit2	0.8683	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	738.0
21	Spectrogram 1	1	741.0	744.0	0	15000	Coal Tit	coatit2	0.7026	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	741.0
22	Spectrogram 1	1	744.0	747.0	0	15000	Coal Tit	coatit2	0.9408	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	744.0
23	Spectrogram 1	1	747.0	750.0	0	15000	Coal Tit	coatit2	0.6597	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	747.0
24	Spectrogram 1	1	750.0	753.0	0	15000	Coal Tit	coatit2	0.5677	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	750.0
25	Spectrogram 1	1	753.0	756.0	0	15000	Coal Tit	coatit2	0.8721	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	753.0
26	Spectrogram 1	1	756.0	759.0	0	15000	Coal Tit	coatit2	0.8196	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	756.0
27	Spectrogram 1	1	759.0	762.0	0	15000	Coal Tit	coatit2	0.7308	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	759.0
28	Spectrogram 1	1	762.0	765.0	0	15000	Coal Tit	coatit2	0.8149	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	762.0
29	Spectrogram 1	1	765.0	768.0	0	15000	Coal Tit	coatit2	0.5091	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	765.0
30	Spectrogram 1	1	768.0	771.0	0	15000	Coal Tit	coatit2	0.8161	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	768.0
31	Spectrogram 1	1	771.0	774.0	0	15000	Coal Tit	coatit2	0.7528	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	771.0
32	Spectrogram 1	1	771.0	774.0	0	15000	Marsh Tit	martit2	0.5384	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	771.0
33	Spectrogram 1	1	774.0	777.0	0	15000	Coal Tit	coatit2	0.5680	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	774.0
34	Spectrogram 1	1	777.0	780.0	0	15000	Coal Tit	coatit2	0.8243	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	777.0
35	Spectrogram 1	1	783.0	786.0	0	15000	Coal Tit	coatit2	0.7981	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	783.0
36	Spectrogram 1	1	786.0	789.0	0	15000	Coal Tit	coatit2	0.7624	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	786.0
37	Spectrogram 1	1	792.0	795.0	0	15000	Coal Tit	coatit2	0.8611	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	792.0
38	Spectrogram 1	1	798.0	801.0	0	15000	Coal Tit	coatit2	0.8951	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	798.0
39	Spectrogram 1	1	804.0	807.0	0	15000	Coal Tit	coatit2	0.8168	.\sounds\realsound\white\white1\20260212\20260212_140000.WAV	804.0
